Frame	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
107	0.53	449.70474	-1809.21631	822.4472	500.45697	-1779.63428	924.34052	666.83014	-1683.49902	1254.79089
108	0.535	453.26181	-1803.40759	823.42755	504.6087	-1773.40808	924.9986	673.50342	-1676.57104	1253.94714
109	0.54	456.73456	-1796.8042	824.45795	509.05942	-1767.33167	925.53156	680.5451	-1670.52478	1253.09302
110	0.545	460.61743	-1791.06799	825.3316	513.75812	-1760.86853	926.12006	687.78607	-1664.19958	1252.19153
111	0.55	464.58881	-1784.64429	826.3678	518.43042	-1754.91125	926.54846	695.07605	-1657.08435	1251.11255
112	0.555	468.63681	-1778.08008	827.3576	523.1806	-1748.06299	927.03595	702.48804	-1649.93396	1249.95667
113	0.56	472.92267	-1771.78857	828.03345	528.3009	-1741.30249	927.44379	710.06323	-1643.64722	1248.74573
114	0.565	477.22311	-1764.83081	829.09552	533.42725	-1734.52332	927.89008	717.78351	-1636.20923	1247.82349
115	0.57	481.6611	-1757.88855	829.95038	538.67957	-1727.27124	928.34705	725.54218	-1629.16443	1246.62659
116	0.575	486.4017	-1750.83801	830.63531	544.05371	-1720.71765	928.54352	733.52081	-1622.04822	1245.38342
117	0.58	491.17609	-1744.00171	831.38055	549.59247	-1713.06567	928.95386	741.62292	-1615.11304	1244.19177
118	0.585	496.01437	-1736.22681	832.09833	555.30157	-1705.83276	929.21045	749.70264	-1607.6709	1242.93884
119	0.59	501.207	-1729.13477	832.60748	561.00702	-1698.94946	929.33154	757.75281	-1599.9762	1241.72766
120	0.595	506.28271	-1721.46155	833.23944	567.02942	-1691.20862	929.44403	766.06824	-1592.80518	1240.59302
121	0.6	511.66272	-1714.38098	833.63995	573.00024	-1684.27893	929.39825	774.63623	-1586.90466	1238.95313
122	0.605	517.08234	-1706.54028	834.2381	579.03442	-1676.28796	929.52612	782.53284	-1578.79968	1237.81555
123	0.61	522.56885	-1698.45959	834.48438	585.32074	-1668.82458	929.43445	790.7771	-1571.27136	1236.65564
124	0.615	528.21405	-1690.78821	834.74689	591.49939	-1660.77905	929.41193	799.14575	-1564.41162	1235.13757
125	0.62	534.02557	-1682.81238	834.93463	597.92047	-1653.35132	929.17932	807.20459	-1557.10657	1233.93481
126	0.625	539.92474	-1674.51306	835.04712	604.25671	-1645.60437	928.97852	815.30548	-1549.78711	1232.84863
